Bill No.,Bill Year,Short Title of Bill,Ministry,Member Name,Date of Introduction,Bill Category,Status,URL for Bill As Introduced
133,2012,"The Abolition of Begging Bill, 2012.",SOCIAL JUSTICE AND EMPOWERMENT,R. Thamaraiselvan Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3361LS.pdf
134,2012,"The Education Loan Bill, 2012.",HUMAN RESOURCE DEVELOPMENT,R. Thamaraiselvan Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3556LS.pdf
135,2012,"The Promotion of Small Family Bill, 2012.",HEALTH AND FAMILY WELFARE,Jhansi Botcha Lakshmi Smt.,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/3450LS.pdf
1,2011,"The Prohibition on Religious Conversion Bill, 2011 .",HOME AFFAIRS,Bijoya Chakravarty Smt.,25/02/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/6078LS.pdf
3,2011,"The Public Employment (Recruitment) Bill, 2011.","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Bijoya Chakravarty Smt.,25/02/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/6142ls.pdf
4,2011,"The National Commission for Youth Bill, 2011.",YOUTH AFFAIRS AND SPORTS,Adhir Ranjan Chowdhury Shri,11/03/2011,Financial Bill,Removed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/6222ls.pdf
5,2011,"The Food Safety and Standards (Amendment) Bill, 2011 (Insertion of new section 19A).",HEALTH AND FAMILY WELFARE,Haribhau Madhav Jawale Shri,25/02/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/6150ls.pdf
6,2011,"The Constitution (Amendment) Bill, 2011 (Amendment of articles 124 and 216).",LAW AND JUSTICE,Arjun Ram Meghwal Shri,11/03/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/6275LS.pdf
7,2011,"The Constitution (Amendment) Bill, 2011 (Insertion of new article 330A, etc.).",LAW AND JUSTICE,Arjun Ram Meghwal Shri,11/03/2011,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/6296LS.pdf
9,2011,"The National Agricultural Produce Price Commission Bill, 2011.",AGRICULTURE,Shetti Raju Alias Devappa Anna Shri,11/03/2011,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/6298LS.pdf
