Bill No.,Bill Year,Short Title of Bill,Ministry,Member Name,Date of Introduction,Bill Category,Status,URL for Bill As Introduced
3,2000,"The Scheduled Castes and Scheduled Tribes (Reservation of Vacancies in Posts and Services) Bill, 2000",SOCIAL JUSTICE AND EMPOWERMENT,Ramdas Athawale Shri,25/02/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
4,2000,"The Eradication of Unemployment Bill, 2000",LABOUR,Ramdas Athawale Shri,25/02/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
5,2000,"The Compulsory Military Taining Bill, 2000",DEFENCE,Vilas Baburao Muttemwar Shri,25/02/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
6,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of the Eighth Schedule)",HOME AFFAIRS,Prabhunath Singh Shri,05/05/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
7,2000,"The Uniform Education Bill, 2000",HUMAN RESOURCE DEVELOPMENT,Ramdas Athawale Shri,25/02/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
8,2000,"The CAble Television Networks (Regulaton Amendment) Bill, 2000",INFORMATION AND BROADCASTING,Kirit Somaiya Shri,25/02/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
9,2000,"The Securities and Exchange Board of India (Amendment) Bill, 2000 (Amendment of section 4)",,Kirit Somaiya Shri,25/02/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
10,2000,"The Ragpicking and Other Vagabond Street children (Rehabilitation and Welfare) Bill, 2000",SOCIAL JUSTICE AND EMPOWERMENT,Vilas Baburao Muttemwar Shri,25/02/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
12,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of article 15, etc.)",SOCIAL JUSTICE AND EMPOWERMENT,Gulam Mehmood Banatwalla Shri,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
13,2000,"The Backward Areas Development Board Bill, 2000",PLANNING,Subodh Mohite Shri,20/04/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
14,2000,"The Scheduled Castes and the Scheduled Tribes (Reservation in Educational Instituitons) Bill, 2000",HUMAN RESOURCE DEVELOPMENT,Praveen Rashtrapal Shri,25/02/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
15,2000,"The Constitution (Amendment) Bill, 2000 (Insertion of new articles 16A abd 29A)","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",P.C. Thomas Shri,20/04/2000,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
17,2000,"The Freedom of Information Bill, 2000","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Subodh Mohite Shri,20/04/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
18,2000,"The Constituton (Amendment) Bill, 2000 (Amendment of article 19, etc.)",,Gulam Mehmood Banatwalla Shri,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
19,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of the Eighth Schedule)",HOME AFFAIRS,Basudev Acharia Shri,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
20,2000,"The Code of Criminal Procedure (Amendment) Bill, 2000 (Amendment of section 2, etc.)",HOME AFFAIRS,Subodh Mohite Shri,20/04/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
22,2000,"The Jamia Mililia Islamia (Amendment) Bill, 2000 (Amendment of the Long Title, etc.)",HUMAN RESOURCE DEVELOPMENT,Gulam Mehmood Banatwalla Shri,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
24,2000,"The Scheduled Castes and the Scheduled Tribes (Reservation in Services) Bill, 2000","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Praveen Rashtrapal Shri,20/04/2000,Ordinary Bill,Negatived,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
27,2000,"The Constituiton (Amendment) Bill, 2000 (Amendment of articles 81 and 170)",,Gulam Mehmood Banatwalla Shri,20/04/2000,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
28,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of article 85)",PARLIAMENTARY AFFAIRS,Vilas Baburao Muttemwar Shri,05/05/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
29,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of article 16, etc.)","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Praveen Rashtrapal Shri,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
30,2000,"The Indian Penal code (Amendment) Bill, 2000 (Amendment of section 21)",HOME AFFAIRS,Ramesh Chennithala Shri,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
32,2000,"The Chief Election Commissioner and Other Election Commissioners (Conditions of Service) (Amendment) Bill, 2000 (Amendment of section 10)",,Ramesh Chennithala Shri,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
33,2000,"The Agricultural Produce (Remunerative Support Prices and MIscellaneous Provisions) Bill, 2000",AGRICULTURE,Gangasandra Siddappa Basavaraj Shri,20/04/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
34,2000,"The All-India Services (Amendment) Bill, 2000 (Insertion of new sections 2B and 2I)","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Subodh Mohite Shri,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
35,2000,"The Abolition of Begging Bill, 2000",SOCIAL JUSTICE AND EMPOWERMENT,Gangasandra Siddappa Basavaraj Shri,20/04/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
36,2000,"The Population Control Bill, 2000",HEALTH AND FAMILY WELFARE,,20/04/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
39,2000,"The Constitution (Amendment) Bill, 2000 (Insertion of new articles 151A to 151D)","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Gangasandra Siddappa Basavaraj Shri,20/04/2000,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
49,2000,"The Code of Criminal Procedure (Amendment) Bill, 2000 (Amendment of section 320, etc.)",HOME AFFAIRS,A.P. Jithender Reddy Shri,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
53,2000,"The Alternate Fuel Resources Board Bill, 2000",NON-CONVENTIONAL ENERGY SOURCES,Anna Saheb M.K. Patil Shri,05/05/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
55,2000,"The Representation of the People (Amendment) Bill, 2000 (Amendment of section 11A)",,Anant Gangaram Geete Shri,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
56,2000,"The Acquired Immuno Deficiency Syndrome (AIDS) Prevention Bill, 2000",HEALTH AND FAMILY WELFARE,V. Saroja Dr.(Smt.),28/07/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
57,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of the Sixth Schedule)",TRIBAL AFFAIRS,Dhani Ram Shandil Dr. (Col.),20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
58,2000,"The Constitution (Amendment) Bill, 2000",,Vijay Goel Shri,20/04/2000,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
59,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of articles 15 and 16)",HOME AFFAIRS,A.D.K. Jeyaseelan Dr.,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
60,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of the Eighth Schedule)",HOME AFFAIRS,Bir Sing Mahato Shri,08/11/2000,Ordinary Bill,,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
61,2000,"The Constituiton (Amendment) Bill, 2000 (Insertion of new article 371J)",PLANNING,Dhani Ram Shandil Dr. (Col.),20/04/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
62,2000,"The Representation of the People (Amendment) Bill, 2000 (Amendment of section 29A, etc.)",,Krishna Bose Prof.(Smt.),20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
63,2000,"The Constitution (Scheduled Tribes) Order (Amendment)Bill, 2000 (Amendment of the Schedule)",TRIBAL AFFAIRS,Paban Singh Ghatowar Shri,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
64,2000,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2000 (Amendment of the Schedule)",TRIBAL AFFAIRS,Madhab Rajbangshi Shri,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
65,2000,"The Constitution (Amendment) Bill, 2000 (Substitution of newe Schedule for Tenth Schedule)",,Kirit Somaiya Shri,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
66,2000,"The Constitution (Scheudled Tribes) Order (Amendment) Bill, 2000 (Amendment of the Schedule)",TRIBAL AFFAIRS,Dhani Ram Shandil Dr. (Col.),20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
67,2000,"The Widows` Protection Bill, 2000",HUMAN RESOURCE DEVELOPMENT,A.D.K. Jeyaseelan Dr.,20/04/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
68,2000,"The Forest (Conservation) Amendment Bill, 2000",ENVIRONMENT AND FORESTS,V. Saroja Dr.(Smt.),28/07/2003,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
70,2000,"The Prohibition of Publication of Pre-election Survey Bill, 2000",,Raghuvansh Prasad Singh Dr.,20/04/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
71,2000,"The Constitution (Amendment) Bill, 2000 (Substitution of new article for article 120, etc.)",HOME AFFAIRS,A.D.K. Jeyaseelan Dr.,20/04/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
72,2000,"The Code of Criminal Procedure(Amendment) Bill, 2000 (Amendment of section 167, etc.)",HOME AFFAIRS,Dhani Ram Shandil Dr. (Col.),,Ordinary Bill,,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
73,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of article 16, etc.)","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Sushil Kumar Shinde,05/05/2000,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
74,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of article 171)",,Kolur Basavanagoud Shri,08/11/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
75,2000,"The Constitution (Amendment) Bill, 2000 (Insertion of new article 16A)","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",V. Saroja Dr.(Smt.),28/07/2003,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
76,2000,"The Prevention of COrruption (Establishment of a Commission) Bill, 2000","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Raghuvansh Prasad Singh Dr.,20/04/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
79,2000,"The Working Women Welfare Bill, 2000",LABOUR,Kailasho Devi Prof. (Smt.),22/03/2002,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
80,2000,"The Special Educational Facilities (For Children of Parents Living in the Rural Villages) Bill, 2000",HUMAN RESOURCE DEVELOPMENT,Puttaswamy Gowda Shri,05/05/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
81,2000,"The National Capital Territory of Delhi (Development) Bill, 2000",,,05/05/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
85,2000,"The Official Languages (Repeal) Bill, 2000",HOME AFFAIRS,Laxminarayan Pandey Dr.,08/11/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
87,2000,"The Public Employment (Recruitment) Bill, 2000","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Anant Gangaram Geete Shri,05/05/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
100,2000,"The Punjab Municipal Corporation Law (Extention to Chandigarh) (Amendment) Bill, 2000 (Amendment of the Schedule)",HOME AFFAIRS,Rattan Lal Kataria Shri,28/07/2003,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
101,2000,"The Destitute Women Welfare Bill, 2000",HUMAN RESOURCE DEVELOPMENT,Ramdas Athawale Shri,28/07/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
102,2000,"The Use of Indian Languages in Commercial Advertisements and on Packages of Consumer Goods Bill, 2000",,Laxminarayan Pandey Dr.,08/11/2000,Ordinary Bill,,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
103,2000,"The Abolition of Child Labour in Hazardous Employment Bill, 2000",LABOUR,Sushil Kumar Shinde,28/07/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
104,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of article 39)",,Ramdas Athawale Shri,28/07/2000,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
105,2000,"The Freedom of Religion (Removal of Restriction) Bill, 2000",HOME AFFAIRS,Gulam Mehmood Banatwalla Shri,28/07/2003,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
106,2000,"The Child Labour in Hazardous Employment (Abolition, Rehabilitation and Welfare) Bill, 2000",LABOUR,Kanti Singh Smt.,08/11/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
107,2000,"The Old Age Pension and Rehabilitation Bill, 2000",SOCIAL JUSTICE AND EMPOWERMENT,Ramdas Athawale Shri,28/07/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
108,2000,"The Scheduled Castes, Scheduled Tribes and Backward Classes (Reservation in Services) Bill, 2000","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Sushil Kumar Shinde,28/07/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
109,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of article 324)",,Vilas Baburao Muttemwar Shri,28/07/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
110,2000,"The Constitution (Amendment) Bill, 2000 (Insertion of new articles 75A and 164A)",HOME AFFAIRS,Vilas Baburao Muttemwar Shri,28/07/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
111,2000,"The Rural Areas (Electricity Supply) Bill, 2000",POWER,Ramdas Athawale Shri,28/07/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
112,2000,"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2000 (Omission of paragraph 3, etc.)",SOCIAL JUSTICE AND EMPOWERMENT,Raghuvansh Prasad Singh Dr.,28/07/2003,Ordinary Bill,,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
113,2000,"The Constitution (Amendment) Bill, 2000 (Insertion of new articles 151A to 151C)",,Vilas Baburao Muttemwar Shri,28/07/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
114,2000,"The Compulsory Registration of Marriages Bill, 2000",,Subodh Mohite Shri,28/07/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
116,2000,"The Cinematograph (Amendment) Bill, 2000",INFORMATION AND BROADCASTING,Subodh Mohite Shri,28/07/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
117,2000,"The Religion Places (Removal of Restriction on Freedom of Religion) Bill, 2000",HOME AFFAIRS,Gulam Mehmood Banatwalla Shri,28/07/2003,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
118,2000,"The Indian Medicines Development Corporation Bill, 2000",HEALTH AND FAMILY WELFARE,Subodh Mohite Shri,28/07/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
120,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of article 103, etc.)",,Vilas Baburao Muttemwar Shri,08/11/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
121,2000,"The Forest Conservation (Amendment) Bill, 2000 (Amendment of section 2, etc.)",ENVIRONMENT AND FORESTS,Subodh Mohite Shri,08/11/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
122,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of article 943C, etc.)",RURAL DEVELOPMENT,Priya Ranjan Dasmunsi Shri,08/11/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
124,2000,"The Meritorious Students (Assistance in Higher Studies) Bill, 2000",HUMAN RESOURCE DEVELOPMENT,Haribhai Chaudhary Shri,08/11/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
126,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of article 316)","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Kolur Basavanagoud Shri,25/08/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
127,2000,"The Constitution (Amendment) Bill, 2000 (Insertion of new article 16A)",LABOUR,Basudev Acharia Shri,25/08/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
128,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of article 81, etc.)",,Anant Gangaram Geete Shri,25/08/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
129,2000,"The Constitution (Amendment) Bill, 2000 (Insertion of new articles 151A to 151G)",,Anant Gangaram Geete Shri,25/08/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
130,2000,"The Representation of the People (Amendment) Bill, 2000 (Amendment of section 8)",,Ramesh Chennithala Shri,24/11/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
131,2000,"The Unorganised Workers Insurance Bill, 2000","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Anandrao Vithoba Adsul Shri,25/08/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
132,2000,"The Deposit and Credit Guarantee (Amendment) Bill, 2000 (Amendment of section 16)",,Kirit Somaiya Shri,25/08/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
134,2000,"The Bachelors Allowance Bill, 2000",HEALTH AND FAMILY WELFARE,Chandrakant Bhaurao Khaire Shri,25/08/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
135,2000,"The Citizens (Identity Card) Bill, 2000",HOME AFFAIRS,Chandrakant Bhaurao Khaire Shri,25/08/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
136,2000,"The Compulsory Home-Guard Training Bill, 2000",HOME AFFAIRS,Chandrakant Bhaurao Khaire Shri,25/08/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
137,2000,"The Participation of Workers in Management Bill, 2000",LABOUR,Anandrao Vithoba Adsul Shri,25/08/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
138,2000,"The Backward Classes (Proportional Representation in Services and Educational Institutions) Bill, 2000",SOCIAL JUSTICE AND EMPOWERMENT,Su Thirunavukkarasar Shri,22/03/2002,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
140,2000,"The Compulsory Military Training for College Students Bill, 2000",DEFENCE,Chandrakant Bhaurao Khaire Shri,25/08/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
141,2000,"The Securities and Exchanges Board of India (Amendment) Bill, 2000 (Insertion of new section 11C)",,Kirit Somaiya Shri,25/08/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
143,2000,"The Population Policy Bill, 2000",HEALTH AND FAMILY WELFARE,Uttamrao Nathuji Dhikale Shri,25/08/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
150,2000,"The Inceome-Tax (Amendment) Bill, 2000 (Amendment of section 10)",,Anandrao Vithoba Adsul Shri,24/11/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
152,2000,"The Supreme Court of India (Establishment of a Permanent Bench at Nagpur) Bill, 2000",,Vilas Baburao Muttemwar Shri,23/02/2001,Money Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
153,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of article 130)",,Ummareddy Venkateswarlu Prof.,24/11/2000,Money Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
154,2000,"The Constitution (Amendment) Bill, 2000",LABOUR,Ramdas Athawale Shri,27/07/2001,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/154_2000.pdf
155,2000,"The Public Premises (Eviction of Unauthorised Occupants) Amendment Bill, 2002",,Ramdas Athawale Shri,27/07/2001,Ordinary Bill,,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/155_2000.pdf
156,2000,"The Government of Union Territory of Daman and Diu Bill, 2000",HOME AFFAIRS,Dahya Bhai V. Patel Shri,24/11/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
157,2000,"The Constitution (Amendment) Bill, 2000 (Insertion of new article 31)",URBAN DEVELOPMENT AND POVERTY ALLEVIATION,Raghuvansh Prasad Singh Dr.,24/11/2000,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
158,2000,The Constitution (Amendment) Bill 2000,,Subodh Mohite Shri,27/07/2001,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/158_2000.pdf
159,2000,"The Constitution (Amendment) Bill, 2002",YOUTH AFFAIRS AND SPORTS,Prahlad Singh Patel Shri,27/07/2001,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/159_2000.pdf
160,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of article 248, etc.)",,Suresh Kurup Adv.,23/02/2001,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
161,2000,"The Constitution (Amendment) Bill, 2000 (Insertion of new Part XXIA, etc.)",AGRICULTURE,Subodh Mohite Shri,27/07/2001,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
162,2000,"The Constitution (Amendment) Bill,2000",,,27/07/2001,Constitutional Amendment Bill,,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/162_2000.pdf
164,2000,"The Constitution (Amendment) Bill, 2000 (Amendment of article 130)",,A.D.K. Jeyaseelan Dr.,27/07/2001,Money Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
165,2000,"The Court of mumbai (Establishment of a permanent bench at nasik) bill, 2000",,Uttamrao Nathuji Dhikale Shri,21/07/2001,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/165_2000.pdf
166,2000,"The cotton growers (Benefit) Bill, 2000",TEXTILES,Ramdas Athawale Shri,27/07/2001,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/166_2000.pdf
167,2000,"The National Parks Bill, 2000",ENVIRONMENT AND FORESTS,Subodh Mohite Shri,27/07/2001,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/167_2000.pdf
168,2000,"The Constitution (Amendment) Bill,2000 (Amendment of seventh schedule)",HUMAN RESOURCE DEVELOPMENT,A.D.K. Jeyaseelan Dr.,27/07/2001,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/168_2000.pdf
173,2000,"The Constitution (Amendment) BIll, 2000",,,08/10/2001,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/173_2000.pdf
174,2000,"The States Reorganisation Commission Bill, 2000",HOME AFFAIRS,Subodh Mohite Shri,27/07/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/174_2000.pdf
175,2000,"The Illegal Immigrants ( Identification and Deportation) bill, 2000",,Anant Gangaram Geete Shri,23/02/2000,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/175_2000.pdf
176,2000,,HUMAN RESOURCE DEVELOPMENT,Ramdas Athawale Shri,27/07/2000,Financial Bill,,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/176_2000.pdf
178,2000,"The National Agriculture Commission Bill, 2000",AGRICULTURE,Uttamrao Nathuji Dhikale Shri,27/07/2001,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
183,2000,"The Compulsory Registration of Marriages Bill, 2000",,Gangasandra Siddappa Basavaraj Shri,23/02/2001,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
184,2000,"The Uniform Education Bill, 2000",HUMAN RESOURCE DEVELOPMENT,,23/11/2001,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
185,2000,"The Marriage (Restriction on Expenditure) Bill, 2000",,Gangasandra Siddappa Basavaraj Shri,23/02/2001,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
186,2000,"The Official Languages (Amendment) Bill, 2000 (Amendment of section 3, etc.)",HOME AFFAIRS,Gulam Mehmood Banatwalla Shri,23/02/2001,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
187,2000,"The Street Children (Protection of Rights) Bill, 2000",SOCIAL JUSTICE AND EMPOWERMENT,Renuka Chowdhury Smt.,08/10/2001,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
