Bill No,Year,Short Title of Bill,Ministry,Date of Introduction,Date of Passing in Lok Sabha,Date of Passing in Rajya Sabha,Date of Assent,Act No,Bill Category,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL of Errata
73,1994,"The Manipur Appropriation (No. 2), Bill, 1994",NA,05/08/1994,05/08/1994,11/08/1994,18/08/1994,46,Money Bill,Passed,NA,NA,NA
74,1994,"The Jammu and Kashmir Appropriation (No. 2) Bill, 1994",NA,09/08/1994,09/08/1994,16/08/1994,20/08/1994,47,Money Bill,Passed,NA,NA,NA
76,1994,"The Appropriation (no. 3) Bill, 1994",NA,09/08/1994,09/08/1994,22/08/1994,25/08/1994,48,Money Bill,Passed,NA,NA,NA
77,1994,"The Appropriation (No. 4) Bill, 1994",NA,09/08/1994,09/08/1994,22/08/1994,25/08/1994,49,Money Bill,Passed,NA,NA,NA
78,1994,"The Appropriation (No. 5) Bill, 1994",NA,09/08/1994,09/08/1994,22/08/1994,25/08/1994,50,Money Bill,Passed,NA,NA,NA
83,1994,"The Appropriation (Railways) No. 4 Bill, 1994",RAILWAYS,16/08/1994,16/08/1994,25/08/1994,31/08/1994,53,Money Bill,Passed,NA,NA,NA
84,1994,"The Appropriation (Railways) No. 5 Bill, 1994",RAILWAYS,16/08/1994,16/08/1994,25/08/1994,31/08/1994,52,Money Bill,Passed,NA,NA,NA
88,1994,"The Constitution (Eighty-Fourth Amendment) Bill, 1994 (Amendment of articles 81,82 and 170)",NA,25/08/1994,NA,NA,NA,,Constitutional Amendment Bill,NA,NA,NA,NA
97,1994,"The Institutional Development Bank of India (Amendment) Bill, 1994",NA,09/12/1994,19/12/1994,22/12/1994,25/03/1995,5,Ordinary Bill,Passed,NA,NA,NA
99,1994,"The Special Protection Group (Second Amendment) Bill, 1994",HOME AFFAIRS,09/12/1994,12/12/1994,14/12/1994,06/03/1995,4,Financial Bill,Passed,NA,NA,NA
100,1994,"The Contigency Fund of India (Amendment) Bill, 1994",NA,09/12/1994,19/12/1994,NA,07/01/1995,1,Money Bill,Passed,NA,NA,NA
101,1994,The Recovery of Debts Due to Banks and Financial Institutions (Amendment) Bill 1994,NA,30/05/1995,30/05/1995,01/08/1995,09/08/1995,28,Ordinary Bill,Passed,NA,NA,NA
106,1994,"The Maritime Zones of India (Regulation of Fishing by Foreign Vessels) Amendment Bill, 1994",FOOD PROCESSING INDUSTRIES,12/12/1994,NA,NA,NA,,Money Bill,Lapsed,NA,NA,NA
111,1994,"The Election Commission (Charging of Expenses on the Consolidated Fund of India) Bill, 1994",NA,16/12/1994,NA,NA,NA,,Money Bill,NA,NA,NA,NA
116,1994,"The Appropriation (Railway) No. 6 Bill, 1994",RAILWAYS,22/12/1994,22/12/1994,06/01/1995,10/01/1995,3,Money Bill,Passed,NA,NA,NA
117,1994,"The Appropriation (No. 6) Bill, 1994",NA,20/12/1994,20/12/1994,03/01/1995,07/01/1995,2,Money Bill,Passed,NA,NA,NA
